epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8062,2.65211,5.66731,3.02924,0.5362,0.45455,0.52347,0.16271,2.32493,3.75477,2.36638,4.44444e-05,4.44444e-05,0.0704148
2,5.40271,1.88572,1.98789,2.19301,0.71919,0.54545,0.56952,0.20406,2.00191,10.1794,2.22181,8.94599e-05,8.94599e-05,0.0371265
3,6.82089,1.78932,1.76452,2.04899,0.877,0.72727,0.78181,0.28163,1.86303,4.89004,2.06436,0.000129198,0.000129198,0.0038329
4,9.07281,1.66721,1.5009,1.90147,0.82955,0.72727,0.79569,0.37112,1.73434,3.06125,1.92721,0.00012625,0.00012625,0.00012625
5,10.5439,1.6477,1.44938,1.83428,0.8238,0.72727,0.81188,0.39602,1.6544,2.32895,1.82,0.000118333,0.000118333,0.000118333
6,11.9155,1.57833,1.41627,1.74507,0.773,0.72727,0.82286,0.46284,1.55327,1.86322,1.70052,0.000110417,0.000110417,0.000110417
7,13.3085,1.50052,1.31364,1.63743,0.77608,0.72727,0.78095,0.50112,1.50127,1.71276,1.62047,0.0001025,0.0001025,0.0001025
8,14.661,1.49446,1.28781,1.60317,0.72828,0.72727,0.84277,0.51233,1.40403,1.44208,1.54534,9.45833e-05,9.45833e-05,9.45833e-05
9,16.0285,1.42594,1.21496,1.53895,0.87692,0.72727,0.8825,0.52124,1.34313,1.37751,1.49696,8.66667e-05,8.66667e-05,8.66667e-05
10,17.4257,1.36522,1.19889,1.48728,0.89334,0.76372,0.89837,0.53577,1.31261,1.32291,1.46729,7.875e-05,7.875e-05,7.875e-05
11,18.8616,1.38828,1.20598,1.49203,0.89564,0.72727,0.89267,0.55771,1.30205,1.28849,1.45467,7.08333e-05,7.08333e-05,7.08333e-05
12,20.7585,1.32362,1.15605,1.4463,1,0.78853,0.91085,0.57772,1.30224,1.22673,1.446,6.29167e-05,6.29167e-05,6.29167e-05
13,22.7839,1.38333,1.21048,1.48467,1,0.79869,0.91085,0.58962,1.29985,1.1971,1.43589,5.5e-05,5.5e-05,5.5e-05
14,24.2137,1.35246,1.11164,1.44362,1,0.80218,0.90933,0.58887,1.3074,1.17363,1.43207,4.70833e-05,4.70833e-05,4.70833e-05
15,27.057,1.28044,1.09416,1.38818,1,0.80608,0.91085,0.58594,1.3077,1.16659,1.42212,3.91667e-05,3.91667e-05,3.91667e-05
16,28.6235,1.27702,1.08308,1.38028,1,0.80819,0.90036,0.58819,1.29712,1.15705,1.4132,3.125e-05,3.125e-05,3.125e-05
17,29.9978,1.3179,1.09969,1.39507,1,0.80947,0.89258,0.58727,1.28072,1.1485,1.40135,2.33333e-05,2.33333e-05,2.33333e-05
18,31.3406,1.29224,1.07887,1.37942,1,0.81072,0.89115,0.59792,1.26926,1.13935,1.39094,1.54167e-05,1.54167e-05,1.54167e-05
